,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,BIS_1,BIS_2,BIS_3,BIS_4,BIS_5,BIS_6,BIS_7,BIS_8,BIS_9,BIS_10,BIS_11,BIS_12,BIS_13,BIS_14A,BIS_14,BIS_15,BIS_16,BIS_17,BIS_18,BIS_19,BIS_20,BIS_22,BIS_22A,BIS_23,BIS_21,CREATED_DATE,UPDATED_DATE
697,2023-06-30,,Q,LPB,Y,3,7971612000000.0,-5521520000000.0,2450092000000.0,327168000000.0,-77859000000.0,249309000000.0,18997000000.0,30208000000.0,-4493000000.0,128042000000.0,-17116000000.0,110926000000.0,31252000000.0,2886291000000.0,-1479987000000.0,1406304000000.0,-525874000000.0,880430000000.0,-172200000000.0,-172200000000.0,0.0,0.0,708230000000.0,410.0,708230000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
698,2023-06-30,,Q,ABB,Y,3,2681545000000.0,-1905007000000.0,776538000000.0,429146000000.0,-244057000000.0,185089000000.0,236644000000.0,4042000000.0,81647000000.0,32903000000.0,-1065000000.0,31838000000.0,0.0,1315798000000.0,-550868000000.0,764930000000.0,-697883000000.0,67047000000.0,-14532000000.0,-14532000000.0,0.0,0.0,52515000000.0,0.0,52515000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
699,2023-06-30,,Q,STB,Y,3,14673964000000.0,-8922528000000.0,5751436000000.0,1613206000000.0,-959444000000.0,653762000000.0,245060000000.0,0.0,21196000000.0,84141000000.0,-18186000000.0,65955000000.0,-1000000.0,6737408000000.0,-3049214000000.0,3688194000000.0,-1315656000000.0,2372538000000.0,-447412000000.0,-447412000000.0,0.0,0.0,1925126000000.0,2029.0,1925126000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
700,2018-12-31,,Y,OCB,Y,12,7656988766889.0,-4221019182442.0,3435969584447.0,388091382049.0,-50329023735.0,337762358314.0,83519035834.0,24327463984.0,939235020184.0,351339681020.0,-156445921279.0,194893759741.0,392700000.0,5016099922504.0,-1869767287781.0,3146332634723.0,-944471229076.0,2201861405647.0,-440830087065.0,-440830087065.0,0.0,0.0,1761031318582.0,2938.0,1761031318582.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
701,2018-12-31,,Q,PGB,N,3,537158000000.0,-298055000000.0,239103000000.0,22443000000.0,-14172000000.0,8271000000.0,8628000000.0,0.0,-4036000000.0,265742000000.0,-8750000000.0,256992000000.0,0.0,508958000000.0,-125244000000.0,383714000000.0,-333935000000.0,49779000000.0,-9956000000.0,-9956000000.0,0.0,0.0,39823000000.0,0.0,39823000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
702,2018-12-31,,Y,PGB,Y,12,2002938352283.0,-1155126617401.0,847811734882.0,76427807127.0,-43778295885.0,32649511242.0,42196165083.0,0.0,6554883584.0,283537990112.0,-15690640762.0,267847349350.0,0.0,1197059644141.0,-519582002270.0,677477641871.0,-518965146563.0,158512495308.0,-31591319238.0,-31591319238.0,0.0,0.0,126921176070.0,423.07,126921176070.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
703,2018-12-31,,Y,NAB,Y,12,5246705000000.0,-3540092000000.0,1706613000000.0,113049000000.0,-60525000000.0,52524000000.0,29873000000.0,-68594000000.0,29255000000.0,57080000000.0,-12568000000.0,44512000000.0,2057000000.0,1796240000000.0,-1154419000000.0,641821000000.0,101142000000.0,742963000000.0,-151689000000.0,-151689000000.0,0.0,0.0,591274000000.0,1763.0,591274000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
704,2018-12-31,,Y,SCB,Y,12,32684649000000.0,-29777966000000.0,2906683000000.0,1984259000000.0,-684830000000.0,1299429000000.0,692000000.0,14038000000.0,423523000000.0,2633444000000.0,-754490000000.0,1878954000000.0,8312000000.0,6531631000000.0,-4140889000000.0,2390742000000.0,-2161944000000.0,228798000000.0,-52642000000.0,-54653000000.0,2011000000.0,-7002000000.0,169154000000.0,62.0,176156000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
705,2019-03-31,,Q,BAB,N,3,2023919000000.0,-1622174000000.0,401745000000.0,44056000000.0,-11091000000.0,32965000000.0,6095000000.0,0.0,-8192000000.0,21521000000.0,-641000000.0,20880000000.0,0.0,453493000000.0,-208548000000.0,244945000000.0,0.0,244945000000.0,-49040000000.0,-49040000000.0,0.0,0.0,195905000000.0,0.0,195905000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
706,2019-03-31,,Q,VIB,N,3,2999549000000.0,-1614371000000.0,1385178000000.0,431100000000.0,-83503000000.0,347597000000.0,-60817000000.0,0.0,1417000000.0,57363000000.0,-16805000000.0,40558000000.0,0.0,1713933000000.0,-747759000000.0,966174000000.0,-156312000000.0,809862000000.0,-162077000000.0,-162077000000.0,0.0,0.0,647785000000.0,773.0,647785000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
707,2019-03-31,,Q,KLB,N,3,889077000000.0,-617976000000.0,271101000000.0,15679000000.0,-3280000000.0,12399000000.0,1532000000.0,0.0,0.0,4376000000.0,-563000000.0,3813000000.0,0.0,288845000000.0,-212721000000.0,76124000000.0,-1837000000.0,74287000000.0,-14923000000.0,-14923000000.0,0.0,0.0,59364000000.0,0.0,59364000000.0,2024-10-16 23:27:34.656697,2024-10-16 23:27:34.656697
708,2021-03-31,2021-04-15,Q,OCB,N,0,2789136166204.0,-1422862089596.0,1366274076608.0,147893794295.0,-21256340014.0,126637454281.0,20548226453.0,25238562021.0,427542245163.0,157708875677.0,-73454934451.0,84253941226.0,0.0,2050494505752.0,-583247868351.0,1467246637401.0,-191516579621.0,1275730057780.0,-263978278536.0,0.0,-263978278536.0,0.0,1011751779244.0,923.0,1011751779244.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
709,2021-03-31,2021-04-20,Q,SGB,N,0,375892000000.0,-232434000000.0,143458000000.0,13423000000.0,-5523000000.0,7900000000.0,6822000000.0,0.0,0.0,19209000000.0,-2976000000.0,16233000000.0,0.0,174413000000.0,-119716000000.0,54697000000.0,-3953000000.0,58650000000.0,-5072000000.0,0.0,-5072000000.0,0.0,53578000000.0,0.0,53578000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
710,2021-03-31,2021-04-28,Q,SHB,N,0,7742671000000.0,-5516822000000.0,2225849000000.0,187881000000.0,-61332000000.0,126549000000.0,53515000000.0,0.0,51866000000.0,110082000000.0,-15289000000.0,94793000000.0,2083000000.0,2554655000000.0,-890605000000.0,1664050000000.0,0.0,1664050000000.0,-333955000000.0,0.0,-333955000000.0,0.0,1330095000000.0,0.0,1330095000000.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
711,2021-03-31,2021-04-20,Q,SSB,N,0,2812390491390.0,-1707000234242.0,1105390257148.0,160409743149.0,-37255080541.0,123154662608.0,78138430674.0,-6631148350.0,90465662640.0,105254308281.0,-56014932405.0,49239375876.0,277810000.0,1440035050596.0,-586142545122.0,853892505474.0,-155653656935.0,698238848539.0,-143088801238.0,0.0,-143088801238.0,0.0,555150047301.0,0.0,555150047301.0,2024-10-16 23:27:34.656697,2025-06-06 16:22:34.243264
