Entity,Symbol,Metric_Code,Prefix,Q2_2025_Has,Q3_2025_Has
BANK,VPB,BNOT_3_2_2_1,BNOT,Yes,No
BANK,VPB,BNOT_3_2_3,BNOT,Yes,No
BANK,VPB,BNOT_40,BNOT,Yes,No
BANK,VPB,BNOT_40_1,BNOT,Yes,No
BANK,VPB,BNOT_40_2,BNOT,Yes,No
BANK,VPB,BNOT_40_3,BNOT,Yes,No
BANK,VPB,BNOT_40_4,BNOT,Yes,No
BANK,VPB,BNOT_40_5,BNOT,Yes,No
BANK,VPB,BNOT_40_6,BNOT,Yes,No
BANK,VPB,BNOT_40_7,BNOT,Yes,No
BANK,VPB,BNOT_40_8,BNOT,Yes,No
BANK,VPB,BNOT_41,BNOT,Yes,No
BANK,VPB,BNOT_41_1,BNOT,Yes,No
BANK,VPB,BNOT_41_2,BNOT,Yes,No
BANK,VPB,BNOT_41_3,BNOT,Yes,No
BANK,VPB,BNOT_42,BNOT,Yes,No
BANK,VPB,BNOT_42_1,BNOT,Yes,No
BANK,VPB,BNOT_42_2,BNOT,Yes,No
BANK,VPB,BNOT_42_3,BNOT,Yes,No
BANK,VPB,BNOT_42_4,BNOT,Yes,No
BANK,VPB,BNOT_42_5,BNOT,Yes,No
BANK,VPB,BNOT_42_6,BNOT,Yes,No
BANK,VPB,BNOT_42_7,BNOT,Yes,No
BANK,VPB,BNOT_46_3,BNOT,Yes,No
BANK,VPB,BNOT_46_4,BNOT,Yes,No
BANK,VPB,BNOT_46_5,BNOT,Yes,No
BANK,VPB,BNOT_46_6,BNOT,Yes,No
BANK,VPB,BNOT_46_7,BNOT,Yes,No
BANK,VPB,BNOT_47_1,BNOT,Yes,No
BANK,VPB,BNOT_47_2,BNOT,Yes,No
BANK,VPB,BNOT_47_3,BNOT,Yes,No
BANK,VPB,BNOT_47_4,BNOT,Yes,No
BANK,VPB,BNOT_47_5,BNOT,Yes,No
BANK,VPB,BNOT_47_6,BNOT,Yes,No
BANK,VPB,BNOT_47_7,BNOT,Yes,No
BANK,VPB,BNOT_48_10,BNOT,Yes,No
BANK,VPB,BNOT_48_11,BNOT,Yes,No
BANK,VPB,BNOT_48_12,BNOT,Yes,No
BANK,VPB,BNOT_48_3,BNOT,Yes,No
BANK,VPB,BNOT_48_4,BNOT,Yes,No
BANK,VPB,BNOT_48_5,BNOT,Yes,No
BANK,VPB,BNOT_48_6,BNOT,Yes,No
BANK,VPB,BNOT_48_7,BNOT,Yes,No
BANK,VPB,BNOT_48_8,BNOT,Yes,No
BANK,VPB,BNOT_48_9,BNOT,Yes,No
COMPANY,HPG,CBS_121,CBS,Yes,No
COMPANY,HPG,CBS_122,CBS,Yes,No
COMPANY,HPG,CBS_133,CBS,Yes,No
COMPANY,HPG,CBS_134,CBS,Yes,No
COMPANY,HPG,CBS_154,CBS,Yes,No
COMPANY,HPG,CBS_155,CBS,Yes,No
COMPANY,HPG,CBS_211,CBS,Yes,No
COMPANY,HPG,CBS_213,CBS,Yes,No
COMPANY,HPG,CBS_214,CBS,Yes,No
COMPANY,HPG,CBS_215,CBS,Yes,No
COMPANY,HPG,CBS_219,CBS,Yes,No
COMPANY,HPG,CBS_224,CBS,Yes,No
COMPANY,HPG,CBS_225,CBS,Yes,No
COMPANY,HPG,CBS_226,CBS,Yes,No
COMPANY,HPG,CBS_251,CBS,Yes,No
COMPANY,HPG,CBS_252,CBS,Yes,No
COMPANY,HPG,CBS_253,CBS,Yes,No
COMPANY,HPG,CBS_254,CBS,Yes,No
COMPANY,HPG,CBS_2601,CBS,Yes,No
COMPANY,HPG,CBS_268,CBS,Yes,No
COMPANY,HPG,CBS_2691,CBS,Yes,No
COMPANY,HPG,CBS_316,CBS,Yes,No
COMPANY,HPG,CBS_317,CBS,Yes,No
COMPANY,HPG,CBS_323,CBS,Yes,No
COMPANY,HPG,CBS_324,CBS,Yes,No
COMPANY,HPG,CBS_3241,CBS,Yes,No
COMPANY,HPG,CBS_332,CBS,Yes,No
COMPANY,HPG,CBS_334,CBS,Yes,No
COMPANY,HPG,CBS_335,CBS,Yes,No
COMPANY,HPG,CBS_336,CBS,Yes,No
COMPANY,HPG,CBS_339,CBS,Yes,No
COMPANY,HPG,CBS_340,CBS,Yes,No
COMPANY,HPG,CBS_3421,CBS,Yes,No
COMPANY,HPG,CBS_3422,CBS,Yes,No
COMPANY,HPG,CBS_343,CBS,Yes,No
COMPANY,HPG,CBS_411B,CBS,Yes,No
COMPANY,HPG,CBS_412,CBS,Yes,No
