,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,ICFD_1,ICFD_7,ICFD_8,ICFD_801,ICFD_9,ICFD_901,ICFD_902,ICFD_20,ICFD_25,ICFD_23,ICFD_231,ICFD_232,ICFD_24,ICFD_21,ICFD_22,ICFD_221,ICFD_222,ICFD_30,ICFD_32,ICFD_36,ICFD_31,ICFD_34,ICFD_341,ICFD_342,ICFD_35,ICFD_40,ICFD_50,ICFD_60,ICFD_601,ICFD_70,ICFD_2,ICFD_3,ICFD_4,ICFD_5,ICFD_6,ICFD_10,ICFD_11,ICFD_33,CREATED_DATE,UPDATED_DATE
24,2020-12-31,,Y,ABI,Y,12,1907972714011.0,-1196832766402.0,-234484191735.0,0.0,-68239066359.0,13223335550.0,-123503544122.0,298136480943.0,-18148669866.0,1260000000.0,-860500000000.0,531500000000.0,0.0,0.0,133981075786.0,0.0,0.0,-211907594080.0,0.0,0.0,0.0,0.0,0.0,-75444800000.0,0.0,-75444800000.0,10784086863.0,47694393644.0,0.0,58478480507.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
25,2018-12-31,,Y,BLI,Y,12,987444656640.0,-887824365574.0,-127683116724.0,0.0,0.0,591392021415.0,-320705246422.0,242623949335.0,-59091231316.0,1436723584.0,-15607592731981.0,15719376263727.0,0.0,0.0,90846724809.0,0.0,0.0,144975748823.0,0.0,0.0,0.0,0.0,0.0,-17086117525.0,0.0,-17086117525.0,370513580633.0,96997579518.0,18491600.0,,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
26,2022-06-30,,Q,ABI,Y,3,1093806475273.0,-1293130398467.0,272314047262.0,96471857220.0,-10809251128.0,1161730835.0,-80116927947.0,79697533048.0,-195600000.0,0.0,-422000000000.0,323000000000.0,131500000000.0,-106500000000.0,34085514426.0,0.0,0.0,-40110085574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39587447474.0,50663872726.0,0.0,90251320200.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
27,2018-03-31,,Q,PGI,N,3,710236093400.0,-454578888318.0,-112898380451.0,0.0,-11225909637.0,57315384987.0,-166405137391.0,22443162590.0,-26595969195.0,2847273.0,-168650000000.0,172689866604.0,0.0,0.0,42879889715.0,0.0,0.0,20326634397.0,0.0,0.0,0.0,0.0,0.0,-59144616060.0,0.0,-59144616060.0,-16374819073.0,142200474608.0,113459679.0,,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
28,2023-06-30,,Q,MIG,Y,3,1196514657080.0,-793716839602.0,-107915557322.0,-107395.0,-7559919078.0,-9521405395.0,-138239580559.0,139561247729.0,-6528441478.0,0.0,-473000000000.0,388190907025.0,0.0,0.0,24467947869.0,0.0,0.0,-66869586584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72691661145.0,47557960180.0,24753122.0,,,,,,,,,,2024-10-16 23:35:22.410158,2025-06-06 16:24:43.396756
29,2020-06-30,,Q,VNAI,Y,3,595497766441.0,-369667669952.0,-40877041473.0,0.0,0.0,64182578977.0,-42446400261.0,206689233732.0,-797447359.0,491000000.0,-135500000000.0,219500000000.0,-174374500000.0,0.0,0.0,0.0,30662032941.0,-60018914418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146670319314.0,182223375562.0,5156731.0,,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
30,2022-06-30,,Q,PRE,N,3,162157110311.0,-14875618848.0,-10959630834.0,0.0,-14093291927.0,265518300.0,-181831019624.0,-59336932622.0,0.0,0.0,0.0,0.0,-121578380000.0,80000000000.0,20652178850.0,0.0,0.0,-20926201150.0,0.0,0.0,99853886870.0,0.0,0.0,-13692850815.0,0.0,86161036055.0,5897902283.0,17907453469.0,-10145748.0,23795210004.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
31,2019-06-30,,Q,BIC,Y,3,,,,1620389504.0,-18453450752.0,0.0,-7926002176.0,-29055524864.0,-1228820736.0,0.0,-2156952551424.0,2022197690368.0,0.0,0.0,138084663296.0,,,2101047424.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-26954477568.0,111117836288.0,536694656.0,84700053504.0,,,,,,,,,2024-10-16 23:35:22.410158,2024-10-16 23:35:22.410158
32,2024-06-30,,Q,PRE,Y,3,537545034180.0,-12701653709.0,-10222428032.0,-2222245967.0,-14641437840.0,982001324.0,-256169984244.0,242569285712.0,-110530000.0,0.0,-515178549424.0,317675066618.0,0.0,0.0,31668217393.0,0.0,0.0,-165945795413.0,0.0,0.0,169072750554.0,-155599777118.0,0.0,0.0,0.0,13472973436.0,90096463735.0,9207650799.0,74907666.0,,,,,,,,,,2024-10-16 23:27:55.306292,2025-06-06 16:24:43.396756
33,2024-06-30,,Q,BLI,Y,3,382775000427.0,-275732174089.0,-56176364284.0,0.0,-3000000000.0,43411341044.0,-96970789271.0,-5692986173.0,-938625000.0,0.0,-98000000000.0,75167974533.0,0.0,0.0,19110419355.0,0.0,0.0,-4660231112.0,0.0,0.0,0.0,0.0,0.0,-216044234.0,0.0,-216044234.0,-10569261519.0,367498582513.0,130882180.0,,,,,,,,,,2024-10-16 23:27:55.306292,2025-06-06 16:24:43.396756
