,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,IIS_01,IIS_011,IIS_012,IIS_013,IIS_02,IIS_021,IIS_022,IIS_023,IIS_024,IIS_025,IIS_03,IIS_04,IIS_041,IIS_042,IIS_043,IIS_044,IIS_045,IIS_10,IIS_11,IIS_111,IIS_112,IIS_121,IIS_122,IIS_123,IIS_12,IIS_124,IIS_125,IIS_126,IIS_13,IIS_14,IIS_15,IIS_161,IIS_162,IIS_17,IIS_171,IIS_172,IIS_173,IIS_174,IIS_175,IIS_176,IIS_177,IIS_178,IIS_179,IIS_1710,IIS_1711,IIS_18,IIS_19,IIS_192,IIS_202,IIS_212,IIS_193,IIS_203,IIS_213,IIS_25,IIS_26,IIS_261,IIS_262,IIS_263,IIS_301,IIS_302,IIS_303,IIS_304,IIS_305,IIS_22,IIS_23,IIS_306,IIS_24,IIS_31,IIS_32,IIS_40,IIS_401,IIS_50,IIS_501,IIS_51,IIS_52,IIS_521,IIS_60,IIS_61,IIS_62,IIS_70,IIS_191,IIS_201,IIS_211,IIS_022023,CREATED_DATE,UPDATED_DATE
589,2025-06-30,2025-07-23,Q,PVI,N,0,6885135816303.0,3587720036633.0,3297415779670.0,,-4931050443591.0,-4905734169045.0,,,,,1954085372712.0,370068557486.0,236861670430.0,83790562949.0,,,49416324107.0,2324153930198.0,-1070543699309.0,-836113067272.0,1308857923687.0,1304612987239.0,589208724.0,3655727724.0,,,,,-72458006592.0,,-670256849486.0,,-28328892698.0,-1140267988861.0,-170508276645.0,,,,,,,-734856831535.0,-201945476230.0,-12374561747.0,-20582842704.0,-1838853731045.0,485300199153.0,,,,,,,,-180101225858.0,,,,527864568625.0,,,,,352511042714.0,-129845447384.0,,222665595330.0,50773352931.0,-48595080004.0,2178272927.0,,530042841552.0,,-105260493764.0,12090022913.0,-93170470851.0,436872370701.0,14103387872.0,422768982829.0,1783.0,,,,,2025-07-24 11:45:39.971546,2025-07-24 11:45:39.971546
590,2025-06-30,2025-08-19,S,PVI,Y,0,13424957548225.0,8021025322169.0,5811359970425.0,-407427744369.0,-9665769131410.0,-9665769131410.0,,,,,3759188416815.0,737104511371.0,472456153767.0,164281641086.0,,,100366716518.0,4496292928186.0,-1878999140270.0,-1319144110141.0,1932021577995.0,1925366176924.0,1432028313.0,5223372758.0,,,,,,-198300677909.0,-1464422350325.0,,-58678586381.0,-2117649620909.0,-325192173373.0,,,,,,,-1363747009525.0,-363050142769.0,-26521392113.0,-39138903129.0,-3640750557615.0,855542370571.0,,,,,,,,-375582958341.0,,,,935315754322.0,,,,,686710193781.0,-231353851689.0,,455356342092.0,95147059011.0,-90155784697.0,4991274314.0,,940307028636.0,,-184956933342.0,18914091870.0,-166042841472.0,774264187164.0,25312642723.0,748951544441.0,3082.0,,,,,2025-07-24 11:45:39.971546,2025-08-19 23:16:08.816469
591,2025-09-30,2025-10-20,Q,AIC,N,0,810140356071.0,929131998423.0,15676290507.0,-134667932859.0,-296162394246.0,-297648644320.0,,,,,513977961825.0,154777343248.0,56750593100.0,98026750148.0,,,,668755305073.0,-347522719487.0,,1611799223.0,,,,125709089387.0,,,,46825195898.0,-42406635209.0,-215783270188.0,,-6471519928.0,-361303735111.0,-361303735111.0,-49550897331.0,,,,,,-311752837780.0,,,,-583558525227.0,85196779846.0,,,,,,,,-140911686404.0,,,,-15004094667.0,,,,,43051707382.0,-2340895491.0,,40710811891.0,124387277.0,-855929449.0,-731542172.0,,-15735636839.0,,3183595876.0,,3183595876.0,-12552040963.0,,-12552040963.0,,,,,,2025-10-21 16:17:32.898223,2025-10-24 22:59:51.507849
592,2025-09-30,2025-10-21,Q,BLI,N,0,376252963730.0,302682025301.0,50248353991.0,23322584438.0,-85008093194.0,-103337276508.0,18329183314.0,,,,291244870536.0,19348896015.0,19343443943.0,5452072.0,,,,310593766551.0,-122041762269.0,,3218705580.0,,,,31315781969.0,,,,-41870154970.0,11652294607.0,-117725135083.0,,-2495931029.0,-126908212893.0,-126908212893.0,-36633287549.0,,,,,,-90274925344.0,,,,-247129279005.0,63464487546.0,,,,,,,,-52948523853.0,,,,25033823286.0,,,,,16281611704.0,-1763752111.0,,14517859593.0,9103692.0,-411608089.0,-402504397.0,,24631318889.0,,-5293974270.0,,-5293974270.0,19337344619.0,,19337344619.0,322.0,,,,,2025-10-22 16:17:41.362439,2025-10-24 22:59:51.507849
593,2025-09-30,2025-10-30,Q,BIC,N,0,1363946382465.0,1385615411318.0,26651427714.0,-48320456567.0,-412131617176.0,-394015821603.0,,,,,951814765289.0,83797477994.0,75911076515.0,7886401479.0,,,,1035612243283.0,-374904723054.0,,4984987847.0,,,,158373781910.0,,,,-107658074224.0,95246971404.0,-223957056117.0,,-10182823056.0,-523189640021.0,-523189640021.0,-145854986252.0,,,,,,-377334653769.0,,,,-757329519194.0,278282724089.0,,,,,,,,-223085999560.0,,,,123175868809.0,,,,,77291615516.0,-9312471236.0,,67979144280.0,6669719390.0,-470660398.0,6199058992.0,,129374927801.0,,-35584240691.0,,-35584240691.0,93790687110.0,2757082870.0,91033604240.0,,,,,,2025-10-31 11:45:28.017386,2025-11-04 23:26:56.091477
594,2025-09-30,2025-10-30,Q,BVH,N,0,10448267257725.0,10447061079702.0,241193926243.0,-239987748220.0,-898854331915.0,-993474372106.0,,,,,9549412925810.0,200178162255.0,,,,,,9749591088065.0,-5544460260849.0,-16469762268.0,-45747504.0,,,-45747504.0,411590234280.0,,,,-3025849382721.0,-121706321487.0,-8296849745541.0,,-11807046566.0,-1196096133296.0,-1196096133296.0,-769435643385.0,,,,,,-426660489911.0,,,,-9504752925403.0,244838162662.0,,,,185811373297.0,-202903882864.0,-17092509567.0,-356079374892.0,-1858906018853.0,,,,957846633109.0,,,,,3585078998859.0,-669277151536.0,29284526436.0,2915801847323.0,5544998697.0,-414152182.0,5130846515.0,,962977479624.0,,-164517835966.0,-694714016.0,-165212549982.0,797764929642.0,26989621031.0,770775308611.0,1038.0,,,,,2025-10-31 11:45:28.017386,2025-11-04 23:26:56.091477
595,2024-12-31,,Q,BHI,Y,3,928616547958.0,1003304022014.0,14935524638.0,-89622998694.0,-325028023467.0,-391404308898.0,66376285431.0,0.0,0.0,0.0,603588524491.0,249214044523.0,60909262057.0,188304782466.0,0.0,0.0,188304782466.0,852802569014.0,-425629643986.0,0.0,2006332433.0,0.0,2006332433.0,0.0,49416215641.0,-374207095912.0,0.0,35956470539.0,242749375809.0,-206792905270.0,-338250625373.0,-25541604777.0,19296928222.0,-480200649650.0,-480200649650.0,-86997548006.0,0.0,0.0,0.0,0.0,0.0,-393203101644.0,0.0,0.0,0.0,-824695951578.0,28106617436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52890093017.0,-52890093017.0,0.0,0.0,-24783475581.0,0.0,-24783475581.0,0.0,0.0,60057261462.0,-5585562964.0,0.0,54471698498.0,2026176326.0,-323380515.0,1702795811.0,0.0,31391018728.0,0.0,0.0,825145100.0,825145100.0,32216163828.0,-952853298.0,33169017126.0,332.0,0.0,0.0,0.0,66376285431.0,2025-02-03 17:19:24.421006,2025-06-06 16:24:43.242694
596,2024-12-31,2025-03-27,Y,BHI,Y,0,3240217187876.0,3176540767757.0,103173002768.0,-39496582649.0,-590302884799.0,-694335194996.0,,,,,2649914303077.0,242639020376.0,121853614947.0,120785405429.0,,,,2892553323453.0,,,5046945352.0,,,,150554461982.0,,,,-447407758308.0,332855543185.0,-1282776844588.0,,-25541604777.0,-1625659985901.0,,-287072807476.0,,,,,,-1338587178425.0,,,,-2933978435266.0,-41425111813.0,,,,,,,,-169932155939.0,,,,10059641755.0,,,,,231806048939.0,-10389139432.0,,221416909507.0,5139107265.0,-2699369300.0,2439737965.0,,12499379720.0,,-2420834801.0,325186365.0,-2095648436.0,10403731284.0,296746968.0,10106984316.0,101.0,,,,,2025-02-03 17:19:24.421006,2025-08-26 23:18:40.155198
597,2024-12-31,2025-03-24,Y,PHUHUNG,Y,0,42687454940.0,44603664540.0,22429094.0,-1938638694.0,-26393182228.0,-27427241858.0,,,,,16294272712.0,6915783616.0,6915783616.0,,,,,23210056328.0,,,1386296.0,,,,2705527651.0,,,,-820315041.0,537738765.0,-2825072180.0,-171988518.0,,-603072566.0,,-374729030.0,,,,,,-228343536.0,,,,-3600133264.0,19609923064.0,,,147818183.0,,,,,-48742474484.0,,,,-18999038192.0,,,,,-280698781.0,-19018447691.0,,10414212009.0,13688241.0,-140278118.0,-126589877.0,,19125628069.0,,,,,-19125628069.0,,-19125628069.0,-426.0,,,428516964.0,,2025-03-24 17:09:20.163496,2025-06-06 16:24:43.242694
598,2025-06-30,2025-07-19,Q,MIG,N,0,1327128194082.0,1362611186673.0,38815897983.0,-74298890574.0,-701808579944.0,-721252257566.0,,,,,625319614138.0,355721837687.0,350324053247.0,5397784440.0,,,,981041451825.0,,,327639944.0,,,,190955728857.0,,,,91921120675.0,-83860219682.0,-183072338583.0,,-6801748272.0,-639058249414.0,-639058249414.0,-110757796521.0,,,,,,-528300452893.0,,,,-828932336269.0,152109115556.0,,,,,,,,-139119288014.0,,,,106282508403.0,,,,,95945635722.0,-2652954861.0,,93292680861.0,98476387.0,-471131154.0,-372654767.0,,105909853636.0,,-21915034886.0,34823462.0,-21880211424.0,84029642212.0,,84029642212.0,,,,,,2025-07-22 20:32:39.494030,2025-07-22 20:32:39.494030
