,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,SIS_20,SIS_1,SIS_1_1,SIS_1_2,SIS_1_3,SIS_2,SIS_3,SIS_4,SIS_5,SIS_6,SIS_7_1,SIS_7_2,SIS_8,SIS_8_1,SIS_9,SIS_9_1,SIS_9_2,SIS_10,SIS_11,SIS_11_1,SIS_11_2,SIS_40,SIS_21,SIS_21_1,SIS_21_2,SIS_21_3,SIS_22,SIS_22_1,SIS_23,SIS_24,SIS_25,SIS_26,SIS_27,SIS_28,SIS_29,SIS_29_1,SIS_30,SIS_31,SIS_32,SIS_32_1,SIS_50_1,SIS_50,SIS_41,SIS_42,SIS_43,SIS_44,SIS_60,SIS_51,SIS_52,SIS_53,SIS_54,SIS_55,SIS_56,SIS_61,SIS_62,SIS_70,SIS_71,SIS_72,SIS_80,SIS_80_1,SIS_90,SIS_91,SIS_92,SIS_100,SIS_100_1,SIS_100_2,SIS_200,SIS_201,SIS_202,SIS_203,SIS_203_1,SIS_301,SIS_302,SIS_303,SIS_304,SIS_305,SIS_306,SIS_307,SIS_400,SIS_401,SIS_402,SIS_500,SIS_501,SIS_502,SIS_1_4,SIS_21_4,SIS_300,CREATED_DATE,UPDATED_DATE
2315,2021-12-31,2022-01-19,Q,RHBSEC,N,0,2075753601.0,,,,,1731345257.0,105539925.0,,,238789481.0,,,,,,,,,78938.0,,,-1272847096.0,,,,,,,,,,,-1010104951.0,,,,741692.0,,-263483837.0,,,7756384.0,,7756384.0,,,,,,,,,,,-3154023108.0,-2343360219.0,29833321.0,-4031235.0,25802086.0,,-2317558133.0,-2317558133.0,,,,,-2317558133.0,-2317558133.0,,,,,,,,,,,-2317558133.0,-2317558133.0,,,,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2316,2022-12-31,2023-03-01,Y,DSE,Y,0,452087667139.0,18718169267.0,15791720906.0,-6479470056.0,9405918417.0,112885074974.0,223074905611.0,,,84848044663.0,,,6654163033.0,,2834979254.0,,,90000000.0,2732330337.0,,,-304562311970.0,-80013516180.0,-1761701302.0,-78176522917.0,-75291961.0,,,,-142467628953.0,,-145335923.0,-74404728375.0,-204831070.0,-18601221.0,,-2736807188.0,,-4570863060.0,,,4781168845.0,20701367.0,1854143406.0,,2906324072.0,-30280376023.0,-205926.0,-29836352893.0,,,-443817204.0,,,-37071988580.0,84954159411.0,10073991233.0,-104352121.0,9969639112.0,,94923798523.0,179579791496.0,-84655992973.0,-17160980111.0,-18456111887.0,1295131776.0,77762818412.0,77762818412.0,,,,,,,,,,,77762818412.0,77762818412.0,,,,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2317,2021-09-30,2021-10-21,Q,RHBSEC,N,0,2073024332.0,,,,,2008705314.0,5708449.0,,,58554569.0,,,,,,,,,56000.0,,,-1135334398.0,,,,,,,,,,,-885371192.0,,,,-1003696.0,,-248959510.0,,,3675778.0,,3675778.0,,,,,,,,,,,-2321904328.0,-1380538616.0,,,,,-1380538616.0,-1380538616.0,,,,,-1380538616.0,-1380538616.0,,,,,,,,,,,-1380538616.0,-1380538616.0,,,,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2318,2022-03-31,2022-04-20,Q,AIS,N,0,54947025093.0,14384797357.0,14347322405.0,36404152.0,1070800.0,0.0,11047165825.0,13297549855.0,0.0,16076629612.0,,,0.0,,140882444.0,,,0.0,0.0,,,-11318167943.0,-56297865.0,-10552091.0,-45745774.0,0.0,0.0,,0.0,0.0,0.0,-174879301.0,-10802336040.0,0.0,0.0,,-213597897.0,0.0,-71056840.0,,,360586750.0,0.0,199534557.0,0.0,161052193.0,-9503463015.0,0.0,-9503463015.0,0.0,0.0,0.0,0.0,0.0,-11524452105.0,22961528780.0,4940.0,0.0,4940.0,,22961533720.0,22970875342.0,-9341622.0,-4592092584.0,-4592092584.0,0.0,18369441136.0,18369441136.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18369441136.0,18369441136.0,0.0,0.0,20803.0,0.0,0.0,0.0,0.0,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2319,2022-12-31,2023-01-16,Q,ASEANSEC,N,0,150243066487.0,95079726952.0,164003777.0,94915296173.0,427002.0,23365314337.0,7549222463.0,,,22513689005.0,,,,,1156526303.0,,,522424983.0,56162444.0,,,-42988182953.0,-34511254420.0,,-34511254420.0,,,,,,,-412430348.0,-5831339338.0,,,,-944566105.0,-1099977090.0,-188615652.0,,,176715637.0,,176715637.0,,,-8456404988.0,-330000.0,-8456074988.0,,,,,,-16513139165.0,82462055018.0,3907778793.0,-50.0,3907778743.0,,86369833761.0,25965792008.0,60404041753.0,-17273881362.0,-5193073011.0,-12080808351.0,69095952399.0,69095952399.0,,,,,,,,,,,69095952399.0,69095952399.0,,,,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2320,2018-12-31,,Q,DSE,N,3,9455123798.0,5108500000.0,5108500000.0,0.0,0.0,2111413867.0,505081272.0,0.0,0.0,1373942822.0,0.0,0.0,0.0,0.0,308317252.0,0.0,0.0,0.0,47868585.0,0.0,9455123798.0,-4010667605.0,-491564500.0,0.0,-340499000.0,-151065500.0,0.0,0.0,0.0,-435973036.0,0.0,-44727600.0,-2371847050.0,0.0,-208043926.0,0.0,-341555361.0,0.0,-116956132.0,0.0,5444456193.0,14973949.0,0.0,14973949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1741455133.0,3717975009.0,362.0,-49200000.0,-49199638.0,0.0,3668775371.0,4009274371.0,-340499000.0,-743595069.0,-743595069.0,0.0,2925180302.0,2925180302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2925180302.0,2925180302.0,0.0,0.0,279.0,0.0,,,0.0,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2321,2021-03-31,2021-04-16,Q,GMC,N,0,1625027189.0,1695350.0,,1693750.0,1600.0,1209960023.0,103918633.0,,,264767600.0,,,,,36075047.0,,,,8610536.0,,,-675418401.0,-352000.0,,-352000.0,,,,,,,,-395590837.0,,,,-279475564.0,,,,,91678093.0,,91678093.0,,,,,,,,,,,-2159887580.0,-1118600699.0,,,,,-1118600699.0,-1119942449.0,1341750.0,,,,-1118600699.0,-1118600699.0,,,,,,,,,,,-1118600699.0,-1118600699.0,,,-72.0,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2322,2022-06-30,2022-07-20,Q,SBSI,N,0,34107686600.0,589640000.0,589640000.0,,,,1405540299.0,7882808392.0,,8867455512.0,,,,,471060577.0,,,14891181820.0,,,,-31230383992.0,-10775886793.0,-10775886793.0,,,,,-4607409000.0,,,-49727339.0,-5195484623.0,,-754967590.0,,-257050051.0,-9589858596.0,,,,61270613.0,,61270613.0,,,-2069498362.0,,-2069498362.0,,,,,,-3005814119.0,-2136739260.0,684980925.0,-736295059.0,-51314134.0,,-2188053394.0,-2188053394.0,,-474091610.0,-474091610.0,,-1713961784.0,-1713961784.0,,,,8616143500.0,,,,,,,6902181716.0,6902181716.0,,,-51.0,,,,8616143500.0,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2323,2021-06-30,2021-07-21,Q,VPS,N,0,2008889681639.0,947331209635.0,686912615592.0,2850625332.0,257567968711.0,18133424659.0,199130770884.0,,,746088943970.0,,,,,12467856012.0,,,32140962000.0,53596514479.0,,,-1659500653290.0,-982078051755.0,-972599873585.0,-9478178170.0,,,,,,,-82205876230.0,-580730952643.0,,,,-13182949552.0,-1302823110.0,,,,54909097111.0,,6180608862.0,,48728488249.0,-155491259105.0,-45431.0,-155491213674.0,,,,,,-54368716042.0,194438150313.0,5147765620.0,-427414058.0,4720351562.0,,199158501875.0,205786054713.0,-6627552838.0,-39819891716.0,-39819891716.0,,159338610159.0,159338610159.0,,,,,,,,,,,159338610159.0,159338610159.0,,,,,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
2324,2021-12-31,2022-03-25,Y,FNS,Y,0,237055915604.0,133062907476.0,43063238959.0,89157410629.0,842257888.0,459890411.0,37378328609.0,,,61447396235.0,,,,,3794427600.0,,,872477273.0,40488000.0,,,104919680363.0,59952365289.0,2344876673.0,57518178607.0,89310009.0,,,,156204319.0,,1519154382.0,39281419470.0,,,,2290359629.0,1720177274.0,,,,4769310384.0,3889429662.0,879880722.0,,,12382475601.0,4247061736.0,8135413865.0,,,,,,-33382296086.0,91140773938.0,,,,,91140773938.0,59501541916.0,31639232022.0,-17986555339.0,-11658708935.0,-6327846404.0,73154218599.0,73154218599.0,,,,,,,,,,,73154218599.0,73154218599.0,,2133.0,2133.0,2133.0,,,,2025-03-28 07:04:09.871852,2025-06-06 16:24:46.684241
