,REPORT_DATE,REPORTED_DATE,FREQ_CODE,SECURITY_CODE,AUDITED,MONTH_IN_PERIOD,ICFI_1,ICFI_2,ICFI_201,ICFI_3,ICFI_4,ICFI_5,ICFI_6,ICFI_7,ICFI_8,ICFI_9,ICFI_901,ICFI_902,ICFI_903,ICFI_904,ICFI_905,ICFI_10,ICFI_11,ICFI_111,ICFI_112,ICFI_113,ICFI_114,ICFI_115,ICFI_12,ICFI_13,ICFI_14,ICFI_15,ICFI_16,ICFI_17,ICFI_20,ICFI_21,ICFI_22,ICFI_23,ICFI_24,ICFI_25,ICFI_26,ICFI_27,ICFI_30,ICFI_31,ICFI_32,ICFI_33,ICFI_34,ICFI_35,ICFI_36,ICFI_40,ICFI_50,ICFI_60,ICFI_61,ICFI_70,ICFI_6B,CREATED_DATE,UPDATED_DATE
20,2019-12-31,,Q,BIC,N,3,60174318010.0,0.0,0.0,334329399100.0,-287774587.0,-124677439099.0,-480801505.0,0.0,269057701919.0,70757592508.0,0.0,0.0,0.0,70757592508.0,0.0,169490314.0,-179636399891.0,0.0,0.0,0.0,-179636399891.0,0.0,-1218530944.0,108621255395.0,-3634328071.0,-126651845812.0,0.0,-67946575090.0,69518360328.0,-1981169391.0,1981474594.0,-350950075003.0,258232610411.0,0.0,0.0,124965213686.0,32248054297.0,0.0,0.0,0.0,0.0,0.0,-89293822800.0,-89293822800.0,29866734978.0,87455932708.0,0.0,117322667686.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
21,2018-09-30,,Q,BMI,N,3,43753912968.0,687808033.0,0.0,19288530236.0,9233032009.0,-47040231205.0,0.0,0.0,25923052041.0,-209778608767.0,0.0,0.0,0.0,-209778608767.0,0.0,101052193.0,-126303578804.0,0.0,0.0,0.0,-126303578804.0,0.0,-1734702680.0,21689506668.0,0.0,54135370566.0,0.0,-27318823327.0,-263286732110.0,18819966676.0,-10254396922.0,764143092778.0,-590926800000.0,0.0,0.0,13458088021.0,195239950553.0,0.0,0.0,0.0,0.0,0.0,91155816250.0,91155816250.0,23109034693.0,309072589552.0,-21131081.0,332160493164.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
22,2020-12-31,,Y,PTI,Y,12,294094550944.0,19627956510.0,0.0,416406962501.0,0.0,-241055735040.0,8987972292.0,0.0,498061707207.0,-108658648020.0,0.0,0.0,0.0,-108658648020.0,0.0,42516522738.0,92437430055.0,0.0,0.0,0.0,92437430055.0,0.0,-202754177791.0,508922288360.0,-8987972292.0,-47335736465.0,0.0,-2000000.0,774199413792.0,-52468393445.0,35787881290.0,-3087097721954.0,2290378811417.0,0.0,68743274393.0,228071909793.0,-516584238506.0,0.0,0.0,270705152192.0,-268700000000.0,0.0,-79743811926.0,-77738659734.0,179876515552.0,118142382645.0,0.0,298018898197.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
23,2022-06-30,,Q,BMI,Y,3,82866257022.0,393036257.0,0.0,-79611728341.0,2357127541.0,-60920967102.0,0.0,0.0,-54916274623.0,-73038648855.0,0.0,0.0,0.0,-73038648855.0,0.0,480902341.0,14575265529.0,0.0,0.0,0.0,14575265529.0,0.0,-15973102609.0,-33160732314.0,0.0,-14364718916.0,0.0,0.0,-176397309447.0,3265263172.0,1109182.0,-369840000000.0,478840000000.0,0.0,0.0,131606113941.0,243872486295.0,0.0,0.0,0.0,0.0,0.0,-164435977500.0,-164435977500.0,-96960800652.0,181741988659.0,1250114008.0,86031302015.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
24,2021-03-31,,Q,HVB,N,3,468683040.0,252843394.0,0.0,0.0,0.0,-8603958730.0,0.0,0.0,-7882432296.0,-25756916641.0,0.0,0.0,0.0,-25756916641.0,0.0,14892650.0,15197072173.0,0.0,0.0,0.0,15197072173.0,0.0,-181851553.0,0.0,0.0,0.0,0.0,0.0,-18609235667.0,0.0,0.0,-58962968995.0,74000000000.0,0.0,0.0,6779760153.0,21816791158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3207555491.0,6598318907.0,0.0,9805874398.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
25,2022-12-31,2023-03-22,Y,BMI,Y,0,342738702617.0,17909084204.0,,115025969042.0,-1384684361.0,-281442793179.0,,,192846278323.0,-45689577068.0,,,,,,396109005.0,-32867584939.0,,,,,,-159528839462.0,3025167847.0,,-42186349033.0,,,-84004795327.0,-1982046212.0,22094274.0,-3395140000000.0,3309035000000.0,,,284574733660.0,196509781722.0,,,,,,-164435977500.0,-164435977500.0,-51930991105.0,220659039990.0,-3014471.0,168725034414.0,,2024-10-16 23:35:22.743007,2025-06-06 16:24:43.535086
26,2020-12-31,,Y,PVI,Y,12,1059517186366.0,84304035947.0,0.0,179987646774.0,9799150522.0,-669983679783.0,851581475.0,0.0,664475921301.0,-2021548350.0,0.0,0.0,0.0,-2021548350.0,0.0,103231530.0,586469951308.0,0.0,0.0,0.0,586469951308.0,0.0,-110822141558.0,-808237727400.0,-851581475.0,-204118347277.0,0.0,-6004470357.0,118993287722.0,-72459448967.0,508517110.0,-7550124751753.0,8289651055088.0,0.0,0.0,627274572453.0,1294849943931.0,0.0,-233228265120.0,0.0,-12637349859.0,0.0,-516397578793.0,-762263193772.0,651580037881.0,492708558335.0,-687329686.0,1143601266530.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
27,2018-03-31,,Q,BMI,N,3,84091043673.0,4209750292.0,0.0,69248829802.0,0.0,-50496314420.0,0.0,0.0,107053309347.0,-52568105052.0,0.0,0.0,0.0,-52568105052.0,0.0,-110266923.0,729549215636.0,0.0,0.0,0.0,729549215636.0,0.0,-906495165.0,0.0,0.0,1020501441.0,0.0,-672588712129.0,111449447155.0,942019712.0,859418182.0,2595647329.0,0.0,0.0,0.0,48674096128.0,53071181351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164520628506.0,162627940434.0,0.0,327148568940.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
28,2018-12-31,,Q,BVH,N,3,237256503545.0,45032821235.0,0.0,4152271368450.0,6554659694.0,-1750505738746.0,178572738968.0,0.0,2869182353146.0,-853878291804.0,0.0,0.0,0.0,-853878291804.0,0.0,4293203572.0,-258105086563.0,0.0,0.0,0.0,-258105086563.0,0.0,-229849212497.0,-98394098483.0,-45218516131.0,-59375136472.0,0.0,-31757134890.0,1296898079878.0,-32732556572.0,55735456.0,-24553320390664.0,12096818378788.0,204714320876.0,-7670084109.0,1449878366262.0,-10842256229963.0,0.0,0.0,13896295209581.0,-5260478522781.0,0.0,0.0,8635816686800.0,-909541463285.0,3065953967842.0,3000725864.0,2159413230421.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
29,2018-12-31,,Q,PVI,N,3,150930045768.0,11009575911.0,0.0,-193016870863.0,-5958464633.0,-144279721902.0,382698629.0,0.0,-180932737090.0,276081410710.0,0.0,0.0,0.0,276081410710.0,0.0,20636784577.0,-772328739065.0,0.0,0.0,0.0,-772328739065.0,0.0,5154279724.0,-359114226018.0,-382698629.0,-45097728262.0,15267513682.0,348448309.0,-1040367692062.0,-12627019724.0,1119500000.0,-1710217200000.0,1335467200000.0,0.0,0.0,147885833355.0,-238371686369.0,-341144694230.0,341144694230.0,16864330571.0,0.0,0.0,-26000000.0,16838330571.0,-1261901047860.0,1577275271463.0,11022324837.0,326396548440.0,0.0,2024-10-16 23:35:22.743007,2024-10-16 23:35:22.743007
