symbol,entry,exit,pnl,days
MTA,2023-08-10,2023-08-17,-9.125475285171103,7
MTA,2024-05-27,2024-06-20,-12.5,24
MTA,2024-07-19,2024-07-25,-6.521739130434782,6
MTA,2024-12-09,2025-03-19,284.3137254901961,100
MTA,2025-04-03,2025-04-09,-30.0,6
MTA,2025-04-15,2025-04-16,-2.7906976744186047,1
MTA,2025-07-22,2025-07-31,-16.751269035532996,9
MTA,2025-10-13,2025-10-23,-11.728395061728394,10
LSG,2023-02-27,2023-02-28,-10.294117647058822,1
LSG,2023-03-06,2023-04-19,-5.714285714285714,44
LSG,2023-05-23,2023-05-24,-8.21917808219178,1
LSG,2023-06-01,2023-06-02,-10.526315789473683,1
LSG,2023-06-09,2023-06-19,-12.987012987012985,10
LSG,2023-07-19,2023-07-28,-4.285714285714286,9
LSG,2023-08-15,2023-10-11,61.97183098591549,57
LSG,2023-10-12,2023-11-01,-6.349206349206349,20
LSG,2023-11-06,2023-11-10,-6.4,4
LSG,2024-04-04,2024-04-19,-8.045977011494253,15
LSG,2024-04-23,2024-07-16,24.175824175824175,84
LSG,2024-10-15,2024-12-02,8.421052631578947,48
LSG,2025-01-02,2025-03-13,37.096774193548384,70
LSG,2025-05-20,2025-06-09,-3.910614525139665,20
LSG,2025-08-19,2025-11-19,45.794392523364486,92
LSG,2025-11-28,2025-12-09,-5.029585798816568,11
LPB,2023-02-20,2023-02-27,-7.965554359526372,7
LPB,2023-03-02,2023-04-13,2.4663677130044843,42
LPB,2023-05-29,2023-09-22,28.699551569506728,116
LPB,2023-10-23,2024-02-28,17.747440273037544,128
LPB,2024-03-06,2024-03-08,-4.213483146067416,2
LPB,2024-08-19,2024-11-12,0.6369426751592357,85
LPB,2024-11-29,2025-03-10,26.049766718507,101
LPB,2025-05-12,2025-06-06,-3.763109191856878,25
LPB,2025-06-19,2025-06-25,-1.8518518518518516,6
LPB,2025-06-27,2025-11-10,51.173708920187785,136
POM,2025-09-05,2025-09-19,-13.043478260869565,14
VVS,2023-02-17,2023-02-20,-6.836397925506836,3
VVS,2023-05-29,2023-07-19,-4.879416713404375,51
VVS,2023-10-09,2023-10-23,-9.114719748559455,14
VVS,2023-10-25,2023-11-10,-18.57707509881423,16
VVS,2024-03-28,2024-05-24,-9.25531914893617,57
VVS,2024-10-17,2024-11-12,-5.749851807943094,26
VVS,2025-02-17,2025-05-26,16.277561608300907,98
VVS,2025-07-07,2025-07-08,-10.221550855991945,1
VVS,2025-07-14,2025-12-19,183.40675477239355,158
KSV,2023-05-25,2023-06-05,-8.60377358490566,11
KSV,2023-06-14,2023-06-16,-1.907032181168057,2
KSV,2023-07-28,2023-08-21,-9.425625920471282,24
KSV,2023-09-05,2023-10-19,25.42309138773975,44
KSV,2024-05-08,2024-09-23,82.24331926863573,138
KSV,2024-09-25,2024-10-07,-3.418181818181818,12
KSV,2024-11-01,2024-11-14,-10.925564043346954,13
KSV,2025-04-02,2025-04-23,-11.539145116857727,21
KSV,2025-07-18,2025-07-31,-5.089296136337108,13
KSV,2025-10-13,2025-11-07,-4.984802431610942,25
DHT,2023-04-21,2023-08-16,72.1027064538515,117
DHT,2023-10-16,2023-10-19,-8.826205641492265,3
DHT,2023-11-02,2023-12-15,1.8396226415094339,43
DHT,2023-12-22,2024-03-11,13.634331694233348,80
DHT,2024-03-29,2024-10-14,155.37251965555973,199
DHT,2024-11-15,2025-01-10,22.022160664819946,56
